Country,Region,Population,AreaPerSqm,PopDensityPerSqm,GDPpercapital,LiteracyPercent
Liechtenstein ,WESTERN EUROPE                     ,33987,160,212.4,25000,100
Monaco ,WESTERN EUROPE                     ,32543,2,16271.5,27000,99
San Marino ,WESTERN EUROPE                     ,29251,61,479.5,34600,96
Gibraltar ,WESTERN EUROPE                     ,27928,7,3989.7,17500,0
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,153,151,16000,97.8
Cook Islands ,OCEANIA                            ,21388,240,89.1,5000,95
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,430,49.2,9600,98
Palau ,OCEANIA                            ,20579,458,44.9,9000,92
Wallis and Futuna ,OCEANIA                            ,16025,274,58.5,3700,50
Anguilla ,LATIN AMER. & CARIB    ,13477,102,132.1,8600,95
Nauru ,OCEANIA                            ,13287,21,632.7,5000,0
Tuvalu ,OCEANIA                            ,11810,26,454.2,1100,0
Montserrat ,LATIN AMER. & CARIB    ,9439,102,92.5,3400,97
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,413,18.2,2500,97
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,242,29,6900,99
